,rank,artist_names,artist_individual,artist_id,artist_genre,track_name,release_date,album_num_tracks,album_cover,peak_rank,previous_rank,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,release_year
219,111,BTS,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,k-pop,Dynamite,2020-11-20,8,https://i.scdn.co/image/ab67616d0000b2733deb4b0115410a85afe31c29,35,127,0.746,0.765,6,0,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054.0,2020
6883,111,"BANDIDO, Duki, Rei, Tiago PZK",BANDIDO,spotify:artist:7CSpCpNGTK9589bTi44SzE,concurso de talentos argentino,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",2021-06-16,1,https://i.scdn.co/image/ab67616d0000b27384470c928279fc49c01337c2,2,103,0.769,0.812,1,0,-2.088,0.0825,0.281,2.63e-05,0.0781,0.926,180.003,280274.0,2021
41344,111,"Post Malone, Fleet Foxes",Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,melodic rap,Love/Hate Letter To Alcohol (with Fleet Foxes),2022-06-03,14,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,111,-1,0.475,0.569,4,0,-7.073,0.0343,0.037,0.00129,0.232,0.0395,108.007,183816.0,2022
39902,111,Australian Crawl,Australian Crawl,spotify:artist:41fDGRDlzczk5Yo2wDo0H4,australian rock,The Boys Light Up - Remastered 2013,1980-01-01,12,https://i.scdn.co/image/ab67616d0000b273b7000e875518ee1d00018e9f,111,-1,0.619,0.935,7,1,-7.158,0.0358,0.0968,0.000172,0.307,0.704,97.894,281467.0,1980
29821,111,Tate McRae,Tate McRae,spotify:artist:45dkTj5sMRSjrmBSBeiHym,pop,that way,2020-01-24,5,https://i.scdn.co/image/ab67616d0000b273cdfe41cd475f8ad3a29b3537,111,126,0.453,0.383,0,1,-11.015,0.163,0.728,0.0,0.387,0.333,105.029,175027.0,2020
4358,111,Olivia Rodrigo,Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,pop,hope ur ok,2021-05-21,11,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,111,-1,0.443,0.298,0,1,-12.181,0.0644,0.388,1e-05,0.103,0.172,77.253,209560.0,2021
32712,110,The Jungle Giants,The Jungle Giants,spotify:artist:6wFwvxJkurQPU2UdeD4qVt,australian pop,Sending Me Ur Loving,2020-01-17,1,https://i.scdn.co/image/ab67616d0000b273de0db0c0646a286a89f7c861,63,63,0.733,0.583,9,0,-7.437,0.0347,0.00133,0.00441,0.0814,0.62,123.006,253940.0,2020
29972,110,Lauren Spencer-Smith,Lauren Spencer-Smith,spotify:artist:79AyR6ATpj2LTPxfb6FX50,gen z singer-songwriter,Fingers Crossed,2022-01-05,1,https://i.scdn.co/image/ab67616d0000b273d455dcb7c245d4ef1646d38e,7,97,0.56,0.473,5,1,-7.23,0.0533,0.618,0.0,0.31,0.441,109.414,175345.0,2022
753,110,Bad Bunny,Bad Bunny,spotify:artist:4q3ewBCX7sLwd24euuV69X,latin,Un Coco,2022-05-06,23,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,56,109,0.839,0.69,11,1,-4.464,0.0615,0.207,8.33e-06,0.176,0.744,151.991,196413.0,2022
42,110,Harry Styles,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,Watermelon Sugar,2019-12-13,12,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a,17,101,0.548,0.816,0,1,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,2019
10735,110,"Sech, J Balvin",Sech,spotify:artist:77ziqFxp5gaInVrF2lj4ht,trap latino,La Luz,2020-10-31,1,https://i.scdn.co/image/ab67616d0000b273ace3418c8fb2fa70bff2ffb3,37,108,0.665,0.697,9,0,-4.819,0.154,0.427,1.39e-05,0.599,0.556,94.053,216747.0,2020
38950,110,Ed Sheeran,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,uk pop,Stop The Rain,2021-10-29,14,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,110,-1,0.686,0.765,8,1,-4.778,0.118,0.0122,0.0,0.127,0.743,99.998,203493.0,2021
40213,110,"Migos, Drake",Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,rap,Having Our Way (feat. Drake),2021-06-11,19,https://i.scdn.co/image/ab67616d0000b273f89d00155b6a066650e5460d,110,-1,0.927,0.538,1,1,-3.917,0.116,0.0312,0.0,0.0945,0.221,125.983,278191.0,2021
44315,110,"Michael Bublé, The Puppini Sisters",Michael Bublé,spotify:artist:1GxkXlMwML1oSg5eLPiAz3,lounge,Jingle Bells (feat. The Puppini Sisters),2011-10-14,16,https://i.scdn.co/image/ab67616d0000b27395517befb15ad5d63af701ab,21,137,0.702,0.588,5,1,-5.914,0.0563,0.634,0.0,0.198,0.849,122.945,159973.0,2011
31899,109,The Weeknd,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,Every Angel is Terrifying,2022-01-06,16,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,109,-1,0.447,0.959,0,1,-5.59,0.348,0.109,2.75e-05,0.0498,0.46,118.167,167256.0,2022
217,109,CNCO,CNCO,spotify:artist:0eecdvMrqBftK0M1VKhaF4,boy band,Dejaría Todo,2021-02-05,13,https://i.scdn.co/image/ab67616d0000b2737c71109dc74109e57124cb6c,102,104,0.702,0.758,9,1,-4.405,0.278,0.14,0.0,0.111,0.837,167.915,188598.0,2021
6881,109,"Camila Cabello, Ed Sheeran",Camila Cabello,spotify:artist:4nDoRrQiYLoBzwC5BhVJzF,post-teen pop,Bam Bam (feat. Ed Sheeran),2022-04-07,12,https://i.scdn.co/image/ab67616d0000b273370ed6a9ced20874385fb147,109,127,0.756,0.697,8,1,-6.377,0.0401,0.182,0.0,0.333,0.956,94.996,206071.0,2022
37142,109,Kanye West,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,rap,Jesus Lord pt 2,2021-08-29,27,https://i.scdn.co/image/ab67616d0000b2736ba1cffc9b2c5469503430b3,109,-1,0.524,0.726,8,1,-6.628,0.0941,0.0705,0.0192,0.0877,0.146,107.4,690732.0,2021
752,109,Camilo,Camilo,spotify:artist:28gNT5KBp7IjEOQoevXf9N,colombian pop,Pegao,2022-05-19,1,https://i.scdn.co/image/ab67616d0000b273470801b1565cd9bafc0042b0,109,125,0.807,0.499,1,0,-4.733,0.0616,0.162,0.0,0.104,0.867,90.037,160733.0,2022
40471,109,"Drake, WizKid, Kyla",Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,rap,One Dance,2016-05-06,20,https://i.scdn.co/image/ab67616d0000b2739416ed64daf84936d89e671c,26,128,0.792,0.625,1,1,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,173987.0,2016
40058,109,"Juice WRLD, Marshmello",Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,melodic rap,Come & Go (with Marshmello),2020-07-10,22,https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb,3,124,0.625,0.814,0,1,-5.181,0.0657,0.0172,0.0,0.158,0.535,144.991,205485.0,2020
3307,109,"Jc La Nevula, Atomic Otro Way",Jc La Nevula,spotify:artist:6KBhywwNM5dStjqjHeNndc,dominican pop,Búscate Otro,2017-08-15,28,https://i.scdn.co/image/ab67616d0000b273e04c87b9695b2c3f42d055cc,95,95,0.834,0.675,5,0,-5.163,0.151,0.244,1.98e-06,0.199,0.416,100.045,213600.0,2017
6877,108,"Imagine Dragons, JID, Arcane, League of Legends",Imagine Dragons,spotify:artist:53XhwfbYqKCa1cC15pYq2q,rock,Enemy (with JID) - from the series Arcane League of Legends,2021-09-03,14,https://i.scdn.co/image/ab67616d0000b273d9b35d1c4d15c9de88b754a7,65,102,0.728,0.783,11,0,-4.424,0.266,0.237,0.0,0.434,0.555,77.011,173381.0,2021
29547,108,John Legend,John Legend,spotify:artist:5y2Xq6xcjJb2jVM54GHK3t,r&b,All of Me,2013-08-30,20,https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78,84,115,0.422,0.264,8,1,-7.064,0.0322,0.922,0.0,0.132,0.331,119.93,269560.0,2013
43292,108,"Ed Sheeran, Lil Baby",Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,pop,2step (feat. Lil Baby),2022-04-22,1,https://i.scdn.co/image/ab67616d0000b273fa1f47734127036f68558256,108,-1,0.693,0.643,4,0,-5.867,0.0828,0.138,0.0,0.108,0.477,95.055,163450.0,2022
7493,108,"Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell",Maluma,spotify:artist:1r4hJ1h58CWwUQe3MxPuau,latin,Aloha,2021-03-05,1,https://i.scdn.co/image/ab67616d0000b273e97a01325c43e1577ed49808,108,118,0.807,0.712,1,1,-5.757,0.1,0.532,2.37e-05,0.163,0.792,100.004,241659.0,2021
32991,108,Guns N' Roses,Guns N' Roses,spotify:artist:3qm84nBOXUEQ2vnTfUTTFC,hard rock,Sweet Child O' Mine,1987-07-21,12,https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60,108,197,0.454,0.91,6,1,-7.766,0.0448,0.0866,0.0996,0.116,0.629,125.116,354520.0,1987
8117,108,"Lara91k, Duki, Yesan ??, Percii",Lara91k,spotify:artist:2zPvDg6LI6NHPQVQIESjfW,r&b argentino,Eres Para Mí,2022-01-13,1,https://i.scdn.co/image/ab67616d0000b273127f4ce98511729150f1bc41,80,80,0.791,0.526,3,0,-8.27,0.0793,0.0776,2.77e-06,0.0995,0.682,104.986,174857.0,2022
40469,108,"Post Malone, The Weeknd",Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,rap,One Right Now (with The Weeknd),2022-06-03,14,https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,10,71,0.682,0.764,1,1,-5.411,0.0477,0.0363,0.0,0.103,0.701,97.023,192721.0,2022
30256,108,RÜFÜS DU SOL,RÜFÜS DU SOL,spotify:artist:5Pb27ujIyYb33zBqVysBkj,indietronica,On My Knees,2021-10-21,11,https://i.scdn.co/image/ab67616d0000b273f014b5a71d5e7b0a9ee64386,51,66,0.683,0.571,1,1,-7.721,0.0286,0.0335,0.0616,0.0957,0.29,120.044,261001.0,2021
33690,107,Jack Harlow,Jack Harlow,spotify:artist:2LIk90788K0zvyj2JJVwkJ,kentucky hip hop,Like A Blade Of Grass,2022-05-06,15,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb,107,-1,0.891,0.489,5,0,-8.14,0.135,0.037,2.12e-05,0.0899,0.794,93.515,126218.0,2022
29546,107,Pop Smoke,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,brooklyn drill,Dior,2019-07-26,9,https://i.scdn.co/image/ab67616d0000b2738fe5d04b06aff90f9fe796f5,44,110,0.548,0.805,7,1,-5.732,0.351,0.212,0.000389,0.408,0.648,142.094,216387.0,2019
6875,107,"Kaleb Di Masi, DJ Tao",Kaleb Di Masi,spotify:artist:5U5wYVqrbD6J8SK4kNhau4,cumbia 420,KALEB DI MASI | DJ TAO Turreo Sessions #5,2021-09-17,1,https://i.scdn.co/image/ab67616d0000b273c38b89b473ede58764f1b6bb,6,105,0.788,0.853,11,0,-4.629,0.353,0.415,0.000184,0.243,0.67,176.155,147658.0,2021
33547,107,The Jackson 5,The Jackson 5,spotify:artist:2iE18Oxc8YSumAU232n4rW,soul,Santa Claus Is Coming To Town,1970-01-01,11,https://i.scdn.co/image/ab67616d0000b2731dd221971daf25e034de40f8,25,161,0.682,0.577,0,1,-11.309,0.0352,0.271,0.000786,0.0796,0.943,147.331,143773.0,1970
310,107,Måneskin,Måneskin,spotify:artist:0lAWpj5szCSwM4rUMHYmrr,indie rock italiano,I WANNA BE YOUR SLAVE,2021-03-19,8,https://i.scdn.co/image/ab67616d0000b2735aa05015cfa7bd2943c29b21,107,181,0.75,0.608,1,1,-4.008,0.0387,0.00165,0.0,0.178,0.958,132.507,173347.0,2021
40467,107,"Kendrick Lamar, Jay Rock",Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,conscious hip hop,Money Trees,2012-01-01,13,https://i.scdn.co/image/ab67616d0000b273d28d2ebdedb220e479743797,45,91,0.716,0.531,7,1,-7.355,0.122,0.0703,0.0,0.224,0.344,71.994,386907.0,2012
41948,106,"Young Stoner Life, Young Thug, Gunna, Drake",Young Stoner Life,spotify:artist:1xr2G8Hlx4QWmT9HaUbmoO,trap,Solid (feat. Drake),2021-04-16,23,https://i.scdn.co/image/ab67616d0000b2732cf2c659aef9a3a132f0d37d,60,60,0.887,0.485,11,0,-9.358,0.2,0.0392,0.0,0.141,0.328,125.987,215693.0,2021
389,106,Duki,Duki,spotify:artist:1bAftSH8umNcGZ0uyV7LMg,trap latino,Midtown,2021-11-25,7,https://i.scdn.co/image/ab67616d0000b273142334e67b095d6aa56655b9,16,97,0.674,0.576,1,1,-4.144,0.136,0.0532,0.0,0.074,0.782,174.062,205709.0,2021
41,106,La Delio Valdez,La Delio Valdez,spotify:artist:3tzacGOmngxUV8W8lU9h3Q,cumbia,Inocente,2018-06-08,11,https://i.scdn.co/image/ab67616d0000b273b37a104320a3828707c11182,77,115,0.606,0.704,10,0,-3.203,0.0285,0.391,0.0,0.109,0.666,91.478,310296.0,2018
750,106,Harry Styles,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,Late Night Talking,2022-05-20,13,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,32,83,0.714,0.728,10,1,-4.595,0.0468,0.298,0.0,0.106,0.901,114.996,177955.0,2022
215,106,Jerry Di,Jerry Di,spotify:artist:7f02bxFbZIOVdSbYRNYvLT,reggaeton,Mi Cuarto,2020-04-03,9,https://i.scdn.co/image/ab67616d0000b2731a092ccbef6c3f576b07ce94,15,102,0.854,0.525,1,1,-4.426,0.214,0.819,0.0,0.146,0.63,97.054,197587.0,2020
30111,106,Billie Eilish,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,art pop,OverHeated,2021-07-30,16,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,106,-1,0.777,0.522,8,0,-12.496,0.0535,0.527,0.838,0.0968,0.182,115.008,214059.0,2021
